ZİYA PAŞAnın,Eş'ar-ı Ziyâ
RECAİZADE MAHMUT EKREMin,Nağme-i Seher
RECAİZADE MAHMUT EKREMin,Yadigâr-ı Şebâb
RECAİZADE MAHMUT EKREMin,Zemzeme
RECAİZADE MAHMUT EKREMin,Tefekkür
RECAİZADE MAHMUT EKREMin,Pejmürde
RECAİZADE MAHMUT EKREMin,Nijad Ekrem
RECAİZADE MAHMUT EKREMin,Nefrin
ABDÜLHAK HAMİT TARHANın,Sahra 
ABDÜLHAK HAMİT TARHANın,Ölü
ABDÜLHAK HAMİT TARHANın,Hacle
ABDÜLHAK HAMİT TARHANın,Bir Sefilenin Hasbihali 
ABDÜLHAK HAMİT TARHANın,Bâlâ'dan Bir Ses 
ABDÜLHAK HAMİT TARHANın,Validem
ABDÜLHAK HAMİT TARHANın,İlham-ı Vatan
ABDÜLHAK HAMİT TARHANın,Tayflar Geçidi
ABDÜLHAK HAMİT TARHANın,Ruhlar
ABDÜLHAK HAMİT TARHANın,Garâm
SAMİPAŞAZADE SEZAİnin,Şir
NABİZADE NAZIMın,Heves Ettim
NABİZADE NAZIMın,Minimini-yahut-Yine Heves
MUALLİM NACİnin,Terkib-i Bend-i Muallim Naci
MUALLİM NACİnin,Ateşpare 
MUALLİM NACİnin,Şerâre
MUALLİM NACİnin,Fürûzan
MUALLİM NACİnin,Sümbüle
MUALLİM NACİnin,Yadigâr-ı Naci
CENAP ŞAHABETTİNin,Tâmât
MEHMET RAUFun Siyah,İnciler
Ömer SEYFETTİNin,Ömer Seyfettin'in Şiirleri
Mehmet Emin YURDAKULun,Türkçe Şiirler 
Mehmet Emin YURDAKULun,Türk Sazı
Mehmet Emin YURDAKULun,Ey Türk Uyan
Mehmet Emin YURDAKULun,Tan Sesleri
Mehmet Emin YURDAKULun,Ordunun Destanı
Mehmet Emin YURDAKULun,Dicle Önünde
Mehmet Emin YURDAKULun,Hastabakıcı Hanımlar
Mehmet Emin YURDAKULun,Turana Doğru
Mehmet Emin YURDAKULun,Zafer Yolunda
Mehmet Emin YURDAKULun,İsyan ve Dua
Mehmet Emin YURDAKULun,Aydın Kızları
Mehmet Emin YURDAKULun,Mustafa Kemal 
Mehmet Emin YURDAKULun,Ankara
Yakup Kadri KARAOSMANOĞLUnun,Erenlerin Bağından
Yakup Kadri KARAOSMANOĞLUnun,Okun Ucundan
Yahya Kemal BEYATLInın,Kendi Gök Kubbemiz
Yahya Kemal BEYATLInın,Eski Şiirin Rüzgârıyla
Yahya Kemal BEYATLInın,Rubailer ve Hayyam Rubailerini Türkçe Söyleyiş
Yahya Kemal BEYATLInın,Bitmemiş Şiirler
